DEPTH,,CALI,RHOB,TNPH,SP,SGR,LLD,LLS,MSFLC,DTLN,DRHO,PERMCORE  .,PHICORE ,GDCORE
FT,,IN,G/C3,DEC,MV,GAPI,OHMM,OHMM,OHMM,US/F,G/C3,MD,FRAC,KGDM
7873.0,7813.0,8.54,2.352,0.232,-18.30,79.78,9.96,6.93,3.46,82.86,0.013,-999,-999,-999
7873.5,7813.5,8.34,2.318,0.195,-17.92,55.46,10.38,6.85,3.20,84.81,0.005,-999,-999,-999
7874.0,7814.0,8.14,2.333,0.179,-17.63,37.17,12.13,7.37,2.88,85.60,0.004,21.46,0.214,2.65
7874.5,7814.5,8.14,2.293,0.168,-17.25,28.49,15.89,8.77,3.22,86.30,0.003,-999,-999,-999
7875.0,7815.0,8.14,2.229,0.160,-16.99,22.67,23.13,11.57,4.48,86.29,-0.005,1693,0.262,2.64
7875.5,7815.5,8.15,2.204,0.161,-17.05,20.38,31.73,15.59,5.39,85.04,-0.012,-999,-999,-999
7876.0,7816.0,8.15,2.206,0.166,-16.88,19.64,32.27,17.62,5.58,83.40,-0.012,-999,-999,-999
7876.5,7816.5,8.15,2.253,0.171,-16.89,16.80,26.53,16.13,4.58,82.40,0.000,597.3,0.23,2.65
7877.0,7817.0,8.14,2.282,0.173,-16.90,16.92,22.94,13.81,3.29,81.95,0.001,-999,-999,-999
7877.5,7817.5,8.15,2.291,0.173,-16.76,17.65,21.39,12.41,2.70,82.55,-0.001,299,0.182,2.65
7878.0,7818.0,8.14,2.267,0.174,-16.66,19.07,22.53,12.25,2.44,83.80,-0.005,-999,-999,-999
7878.5,7818.5,8.14,2.254,0.174,-16.68,21.42,26.13,13.44,2.43,83.85,-0.002,232,0.206,2.65
7879.0,7819.0,8.15,2.248,0.167,-16.56,21.06,31.79,15.64,2.31,84.16,-0.006,-999,-999,-999
7879.5,7819.5,8.15,2.257,0.161,-16.74,20.74,40.27,18.74,2.47,86.11,-0.007,1026,0.235,2.65
7880.0,7820.0,8.15,2.259,0.164,-16.77,19.31,53.89,22.95,3.01,87.40,-0.003,-999,-999,-999
7880.5,7820.5,8.15,2.195,0.166,-16.74,18.06,68.60,27.54,3.76,89.60,-0.004,-999,-999,-999
7881.0,7821.0,8.15,2.186,0.166,-17.19,17.87,72.46,29.60,4.51,90.50,-0.002,1410,0.248,2.65
7881.5,7821.5,8.15,2.202,0.168,-16.90,16.98,63.61,27.71,4.85,90.50,0.001,-999,-999,-999
7882.0,7822.0,8.15,2.191,0.168,-16.85,16.91,53.23,24.47,4.91,90.71,-0.003,1625,0.278,2.65
7882.5,7822.5,8.15,2.157,0.168,-16.88,14.57,47.05,22.45,4.78,91.80,-0.022,3473,0.261,2.66
7883.0,7823.0,8.14,2.141,0.173,-16.69,13.88,42.64,21.41,4.70,92.10,-0.027,-999,-999,-999
7883.5,7823.5,8.15,2.131,0.175,-16.56,16.37,37.69,20.34,4.88,91.00,-0.026,499.7,0.297,2.65
7884.0,7824.0,8.14,2.174,0.174,-16.41,17.93,29.62,17.94,4.92,89.50,-0.016,-999,-999,-999
7884.5,7824.5,8.15,2.199,0.177,-16.02,17.75,21.37,14.53,4.86,88.40,-0.005,906.9,0.275,2.65
